Query: umer
Wheighting Scheme: BM25
indexNo. Of Document  document-filename  cosine similarity weight
31 CMA61552018.pdf 1.0
49 CrlP8932020.pdf 1.0
145 CrlP105-K2020.pdf 1.0
183 CA39-K2021.pdf 1.0
231 CrlA270-L2012.pdf 1.0
250 CA7752015.pdf 1.0
271 CMA6872017.pdf 1.0
476 CA6472018.pdf 1.0
507 CA13992019.pdf 1.0
521 CMA29152013.pdf 1.0
622 HRC19526-G2013.pdf 1.0
680 CP42822018.pdf 1.0
745 HRC208832018.pdf 1.0
812 CA7592020.pdf 1.0
871 HRC32642-P2018.pdf 1.0
911 CrlP11542021.pdf 1.0
955 HRC188772018.pdf 1.0
1002 CA6482021.pdf 1.0
1021 CP2256-L2015.pdf 1.0
1043 CrlP2032021.pdf 1.0
1046 CA4692021.pdf 1.0
1063 CRP2922021.pdf 1.0
1153 JP5532017.pdf 1.0
